date,day,type,name,color,style,generation,gender,unit_price,sales,items
2011-06-07,Tu,Road,"Road-150 Red, 62",Red,U,Gen X,M,3578.27,14313.08,4
2011-05-16,Mo,Road,"Road-150 Red, 52",Red,U,Gen X,F,3578.27,10734.81,3
2011-05-08,Su,Road,"Road-150 Red, 56",Red,U,Gen X,M,3578.27,10734.81,3
2011-05-24,Tu,Road,"Road-150 Red, 44",Red,U,Gen X,M,3578.27,10734.81,3
2011-06-17,Fr,Road,"Road-150 Red, 48",Red,U,Gen X,F,3578.27,10734.81,3
2011-08-23,Tu,Road,"Road-150 Red, 52",Red,U,Gen X,F,3578.27,10734.81,3
2011-03-30,We,Road,"Road-150 Red, 44",Red,U,Gen X,M,3578.27,10734.81,3
2011-03-02,We,Road,"Road-150 Red, 52",Red,U,Gen X,M,3578.27,10734.81,3
2011-02-27,Su,Road,"Road-150 Red, 62",Red,U,Gen X,M,3578.27,10734.81,3
2011-10-25,Tu,Road,"Road-150 Red, 56",Red,U,Gen X,F,3578.27,10734.81,3
2013-12-25,We,Road,"Road-250 Black, 58",Black,U,Gen X,M,2443.35,7330.05,3
2011-04-22,Fr,Road,"Road-150 Red, 62",Red,U,Boomers,M,3578.27,7156.54,2
2011-05-14,Sa,Road,"Road-150 Red, 52",Red,U,Gen X,F,3578.27,7156.54,2
2011-01-16,Su,Road,"Road-150 Red, 48",Red,U,Boomers,M,3578.27,7156.54,2
2011-01-19,We,Road,"Road-150 Red, 44",Red,U,Millenial,M,3578.27,7156.54,2
2011-05-20,Fr,Road,"Road-150 Red, 62",Red,U,Gen X,F,3578.27,7156.54,2
2011-05-16,Mo,Road,"Road-150 Red, 62",Red,U,Gen X,M,3578.27,7156.54,2
2011-06-10,Fr,Road,"Road-150 Red, 44",Red,U,Gen X,F,3578.27,7156.54,2
2011-06-10,Fr,Road,"Road-150 Red, 52",Red,U,Gen X,M,3578.27,7156.54,2
2011-06-05,Su,Road,"Road-150 Red, 56",Red,U,Gen X,M,3578.27,7156.54,2
2011-06-11,Sa,Road,"Road-150 Red, 62",Red,U,Gen X,F,3578.27,7156.54,2
2011-05-07,Sa,Road,"Road-150 Red, 52",Red,U,Gen X,M,3578.27,7156.54,2
2011-04-29,Fr,Road,"Road-150 Red, 56",Red,U,Millenial,F,3578.27,7156.54,2
2011-07-30,Sa,Road,"Road-150 Red, 56",Red,U,Gen X,F,3578.27,7156.54,2
2011-03-26,Sa,Road,"Road-150 Red, 48",Red,U,Gen X,M,3578.27,7156.54,2
2011-08-03,We,Road,"Road-150 Red, 48",Red,U,Millenial,F,3578.27,7156.54,2
2011-04-08,Fr,Road,"Road-150 Red, 62",Red,U,Gen X,M,3578.27,7156.54,2
2011-08-03,We,Road,"Road-150 Red, 52",Red,U,Boomers,M,3578.27,7156.54,2
2011-07-17,Su,Road,"Road-150 Red, 52",Red,U,Boomers,F,3578.27,7156.54,2
2011-07-11,Mo,Road,"Road-150 Red, 56",Red,U,Boomers,M,3578.27,7156.54,2
2011-07-12,Tu,Road,"Road-150 Red, 44",Red,U,Gen X,F,3578.27,7156.54,2
2011-07-18,Mo,Road,"Road-150 Red, 62",Red,U,Gen X,M,3578.27,7156.54,2
2011-07-19,Tu,Road,"Road-150 Red, 62",Red,U,Gen X,F,3578.27,7156.54,2
2011-12-25,Su,Road,"Road-150 Red, 44",Red,U,Gen X,M,3578.27,7156.54,2
2011-12-25,Su,Road,"Road-150 Red, 56",Red,U,Boomers,M,3578.27,7156.54,2
2011-02-03,Th,Road,"Road-150 Red, 62",Red,U,Gen X,F,3578.27,7156.54,2
2011-12-25,Su,Road,"Road-150 Red, 62",Red,U,Gen X,M,3578.27,7156.54,2
2011-04-18,Mo,Road,"Road-150 Red, 52",Red,U,Boomers,M,3578.27,7156.54,2
2011-04-17,Su,Road,"Road-150 Red, 62",Red,U,Boomers,M,3578.27,7156.54,2
2011-06-22,We,Road,"Road-150 Red, 44",Red,U,Gen X,M,3578.27,7156.54,2
2011-04-17,Su,Road,"Road-150 Red, 44",Red,U,Millenial,M,3578.27,7156.54,2
2011-06-18,Sa,Road,"Road-150 Red, 48",Red,U,Gen X,F,3578.27,7156.54,2
2011-06-14,Tu,Road,"Road-150 Red, 44",Red,U,Boomers,F,3578.27,7156.54,2
