date,day,product,type,name,color,style,customer,birth,generation,gender,unit_price,items,sales
2010-12-29,We,BK-R93R-62,Road,"Road-150 Red, 62",Red,U,AW00021768,1952,Boomers,M,3578.27,1,3578.27
2010-12-29,We,BK-M82S-44,Mountain,"Mountain-100 Silver, 44",Silver,U,AW00028389,1970,Gen X,F,3399.99,1,3399.99
2010-12-29,We,BK-M82S-44,Mountain,"Mountain-100 Silver, 44",Silver,U,AW00025863,1952,Boomers,F,3399.99,1,3399.99
2010-12-29,We,BK-R50B-62,Road,"Road-650 Black, 62",Black,U,AW00014501,1943,Silent,M,699.0982,1,699.0982
2010-12-29,We,BK-M82S-44,Mountain,"Mountain-100 Silver, 44",Silver,U,AW00011003,1973,Gen X,F,3399.99,1,3399.99
2010-12-30,Th,BK-R93R-44,Road,"Road-150 Red, 44",Red,U,AW00027645,1972,Gen X,M,3578.27,1,3578.27
2010-12-30,Th,BK-R93R-62,Road,"Road-150 Red, 62",Red,U,AW00016624,1983,Millenial,M,3578.27,1,3578.27
2010-12-30,Th,BK-M82B-48,Mountain,"Mountain-100 Black, 48",Black,U,AW00011005,1976,Gen X,M,3374.99,1,3374.99
2010-12-30,Th,BK-M82S-38,Mountain,"Mountain-100 Silver, 38",Silver,U,AW00011011,1969,Gen X,M,3399.99,1,3399.99
2010-12-31,Fr,BK-R93R-48,Road,"Road-150 Red, 48",Red,U,AW00027621,1975,Gen X,M,3578.27,1,3578.27
2010-12-31,Fr,BK-R93R-48,Road,"Road-150 Red, 48",Red,U,AW00027616,1971,Gen X,F,3578.27,1,3578.27
2010-12-31,Fr,BK-R50R-52,Road,"Road-650 Red, 52",Red,U,AW00020042,1979,Gen X,M,699.0982,1,699.0982
2010-12-31,Fr,BK-R93R-52,Road,"Road-150 Red, 52",Red,U,AW00016351,1960,Boomers,F,3578.27,1,3578.27
2010-12-31,Fr,BK-R93R-56,Road,"Road-150 Red, 56",Red,U,AW00016517,1981,Millenial,F,3578.27,1,3578.27
2011-01-01,Sa,BK-R93R-56,Road,"Road-150 Red, 56",Red,U,AW00027606,1962,Boomers,F,3578.27,1,3578.27
2011-01-01,Sa,BK-R93R-44,Road,"Road-150 Red, 44",Red,U,AW00013513,1947,Boomers,F,3578.27,1,3578.27
2011-01-02,Su,BK-R93R-62,Road,"Road-150 Red, 62",Red,U,AW00027601,1970,Gen X,F,3578.27,1,3578.27
